author.created_at,cid,record.media.merge,uri,indexed_at,record.created_at,record.text,record.langs,like_count,quote_count,reply_count,repost_count,labels,record.labels,record.labels.values,record.embed.external.title,record.embed.external.description,record.embed.external.uri,record.embed.images,record.embed.media.images,record.embed.video.mime_type,record.embed.video.size,record.embed.video.ref.link,record.reply.parent.uri,record.reply.parent.cid,record.reply.root.uri,record.reply.root.cid,record.hashtag,record.text.clean,record.text.clean.count,has.embed.external.title,record.media.merge.clean
2024-11-10T01:37:56.281Z,bafyreif3tsjqugonqeqh5rok5q73tptjkytjm6nvlspx6ejwkvvucawjee,"Zelensky will be remembered for his true grit, whilst Trump will be decaying in his grave.  ",at://did:plc:ujiuwn3nidrkc6u4esyjgqgo/app.bsky.feed.post/3ljh63ykafk2x,2025-03-03T04:59:06.949Z,2025-03-03T04:59:03.872Z,"Zelensky will be remembered for his true grit, whilst Trump will be decaying in his grave.",['en'],3,0,1,1,[],,,,,,,,,,,,,,,[],"Zelensky will be remembered for his true grit, whilst Trump will be decaying in his grave.",16,0,"Zelensky will be remembered for his true grit, whilst Trump will be decaying in his grave."
2024-12-02T00:10:05.047Z,bafyreifewhwblghlpfwworbkxmnqjyscof3ypvwsbfnm3plspsmas67sim,"youtube.com/watch?v=0n6l...

Adam Mockler with MeidasTouch Network reports on the Trump administration's sudden retreat as two federal agents involved in the Minneapolis shooting are placed on administrative leave. Trump PANICS and SACRIFICES ICE AGENTS YouTube video by Adam Mockler",at://did:plc:hkrqzginr44yb4gghwi7yben/app.bsky.feed.post/3mdj5czlnms2l,2026-01-28T20:45:29.953Z,2026-01-28T20:45:27.912Z,"youtube.com/watch?v=0n6l...

Adam Mockler with MeidasTouch Network reports on the Trump administration's sudden retreat as two federal agents involved in the Minneapolis shooting are placed on administrative leave.",['en'],1,0,0,0,[],,,Trump PANICS and SACRIFICES ICE AGENTS,YouTube video by Adam Mockler,https://youtube.com/watch?v=0n6l4fqFfpk&si=LWjFaaahB_CgQ1RU,,,,,,,,,,[],youtube.com/watch?v=0n6l... Adam Mockler with MeidasTouch Network reports on the Trump administration's sudden retreat as two federal agents involved in the Minneapolis shooting are placed on administrative leave.,27,1,youtube.com/watch?v=0n6l... Adam Mockler with MeidasTouch Network reports on the Trump administration's sudden retreat as two federal agents involved in the Minneapolis shooting are placed on administrative leave. Trump PANICS and SACRIFICES ICE AGENTS YouTube video by Adam Mockler
2023-11-12T03:12:51.798Z,bafyreidimj4jghhmhto6xtvxxteouvrvqllkrrgqciy2q3lc3q5o4d7f5y,"Your post is tricky written. The headline is better. No, The US Government isn't going to end birthright citizenship - Trump is going to TRY to end it. Could it happen? Of course, given this SCOTUS, but it is not automatic because he says so.  ",at://did:plc:bxzxbo7az6q3vglzpnso5iu5/app.bsky.feed.post/3lg7733gfis2h,2025-01-20T20:39:35.047Z,2025-01-20T20:39:34.296Z,"Your post is tricky written. The headline is better. No, The US Government isn't going to end birthright citizenship - Trump is going to TRY to end it. Could it happen? Of course, given this SCOTUS, but it is not automatic because he says so.",['en'],0,0,0,0,[],,,,,,,,,,,at://did:plc:k5nskatzhyxersjilvtnz4lh/app.bsky.feed.post/3lg6ogbfjxk2v,bafyreibrc4g7boakhiusv3fffprxe2dnac5k2th654slkvqfywxrr2zeaq,at://did:plc:k5nskatzhyxersjilvtnz4lh/app.bsky.feed.post/3lg6ogbfjxk2v,bafyreibrc4g7boakhiusv3fffprxe2dnac5k2th654slkvqfywxrr2zeaq,[],"Your post is tricky written. The headline is better. No, The US Government isn't going to end birthright citizenship - Trump is going to TRY to end it. Could it happen? Of course, given this SCOTUS, but it is not automatic because he says so.",45,0,"Your post is tricky written. The headline is better. No, The US Government isn't going to end birthright citizenship - Trump is going to TRY to end it. Could it happen? Of course, given this SCOTUS, but it is not automatic because he says so."
2024-11-10T22:15:20.282Z,bafyreidmf63d52mh4y76ufbi4retkfbtkcdfhp57cpbobp6jovg6gzruwi,You’re right. But you had to know that any vote not for Harris helped Trump win. So maybe not a Trump supporter but definitely trump supporting adjacent.,at://did:plc:m7oa6oudi5gw7gthner2xsoj/app.bsky.feed.post/3lgstxltcsc2t,2025-01-28T16:14:01.459Z,2025-01-28T16:14:00.885Z,You’re right. But you had to know that any vote not for Harris helped Trump win. So maybe not a Trump supporter but definitely trump supporting adjacent.,['en'],0,0,1,0,[],,,,,,,,,,,at://did:plc:zodechfo7nrxqsam6yt5uhgi/app.bsky.feed.post/3lgstnk7rp22m,bafyreift4honmlmsqgpfpohmqkoo2u6g63oltwei6keoqo45cluqjxjueu,at://did:plc:ydtsvzzsl6nlfkmnuooeqcmc/app.bsky.feed.post/3lgokormr5k2s,bafyreibdvxsndnuexhyev4oodnl7f4exhayphewm5pdxemyiofdhimqt5e,[],You’re right. But you had to know that any vote not for Harris helped Trump win. So maybe not a Trump supporter but definitely trump supporting adjacent.,27,0,You’re right. But you had to know that any vote not for Harris helped Trump win. So maybe not a Trump supporter but definitely trump supporting adjacent.
2024-11-12T16:01:11.511Z,bafyreih7pfrn3i67tsoqvrtceghrczojzhlib5ww2y5zkl2bkrsapxos4e,"You want to talk about freedom Maga? 
This ain't fucking it!  ",at://did:plc:geyco4t7yp3ta7gh7qhrqsmh/app.bsky.feed.post/3logvlaxrhc2m,2025-05-05T17:32:32.484Z,2025-05-05T17:32:30.490Z,"You want to talk about freedom Maga? 
This ain't fucking it!",['en'],1,0,1,0,[],,,,,,,,video/mp4,608603,bafkreigxpv562xrwsyv5bw634tfzyj4fde2vetjerngi2aydulpbhul4ty,,,,,[],You want to talk about freedom Maga? This ain't fucking it!,11,0,You want to talk about freedom Maga? This ain't fucking it!
2024-11-12T16:53:53.308Z,bafyreicaeju4cnjaf4kjwz6p6xgydxzvmruzwxdmgdkkvlealju2w5pu6e,You want a plan? Find a sheriff  who will deputize some veterans and find a judge who will sign an arrest warrant then go arrest Leon and then when trump pardons him arrest him again.,at://did:plc:fyfguitrzwh6z2njvmyldnvj/app.bsky.feed.post/3lkcon6bj6k26,2025-03-14T03:36:53.855Z,2025-03-14T03:36:53.113Z,You want a plan? Find a sheriff  who will deputize some veterans and find a judge who will sign an arrest warrant then go arrest Leon and then when trump pardons him arrest him again.,['en'],2,0,0,0,[],,,,,,,,,,,,,,,[],You want a plan? Find a sheriff who will deputize some veterans and find a judge who will sign an arrest warrant then go arrest Leon and then when trump pardons him arrest him again.,35,0,You want a plan? Find a sheriff who will deputize some veterans and find a judge who will sign an arrest warrant then go arrest Leon and then when trump pardons him arrest him again.
2024-11-11T22:02:04.538Z,bafyreihq62kvpz4pdn6okp6w5vcok6qdwtts7pvlm4e3ybum2dtlr7ncpm,"You know, with all due respect, shut up! This is not the time to normalize Trump!  ",at://did:plc:kxl3oedc3kcunavmmkqw5wrv/app.bsky.feed.post/3lbfweuefhs27,2024-11-20T21:46:39.595Z,2024-11-20T21:46:38.787Z,"You know, with all due respect, shut up! This is not the time to normalize Trump!",['en'],0,0,0,0,[],,,,,,,,,,,at://did:plc:y5xyloyy7s4a2bwfeimj7r3b/app.bsky.feed.post/3lbfvxlvzq22r,bafyreigqadlki7oyy2iit77jp6i6y3dfrldtnbovsmwzjrvfw7vkrjt3xe,at://did:plc:y5xyloyy7s4a2bwfeimj7r3b/app.bsky.feed.post/3lbfvxlvzq22r,bafyreigqadlki7oyy2iit77jp6i6y3dfrldtnbovsmwzjrvfw7vkrjt3xe,[],"You know, with all due respect, shut up! This is not the time to normalize Trump!",16,0,"You know, with all due respect, shut up! This is not the time to normalize Trump!"
2023-08-25T03:24:18.648Z,bafyreicpcy4xzyh64x3hl5l4nj5ds3nfnhla32xb5e7i2o4wz2boko4qgi,You gotta hand to trump. He manages to find the worst possible person for every position. I’m a 5’2” 63 year old woman. He would probably make me a running back for the KC Chiefs,at://did:plc:lrix7yjvlvg6yb7t7rp55mjv/app.bsky.feed.post/3m7j5ipdl422i,2025-12-08T23:07:52.332Z,2025-12-08T23:07:51.977Z,You gotta hand to trump. He manages to find the worst possible person for every position. I’m a 5’2” 63 year old woman. He would probably make me a running back for the KC Chiefs,['en'],0,0,0,0,[],,,,,,,,,,,at://did:plc:xciroqs5w2kazs6fc6ypcbh7/app.bsky.feed.post/3m7iwwhcfdk27,bafyreidshid5t3xrktwnd5bsucyrpsbv2hsr3hbvvvkoptgddsafziakj4,at://did:plc:xciroqs5w2kazs6fc6ypcbh7/app.bsky.feed.post/3m7iwwhcfdk27,bafyreidshid5t3xrktwnd5bsucyrpsbv2hsr3hbvvvkoptgddsafziakj4,[],You gotta hand to trump. He manages to find the worst possible person for every position. I’m a 5’2” 63 year old woman. He would probably make me a running back for the KC Chiefs,35,0,You gotta hand to trump. He manages to find the worst possible person for every position. I’m a 5’2” 63 year old woman. He would probably make me a running back for the KC Chiefs
2023-09-15T00:12:52.197Z,bafyreid2xfxt6hxso7y4t5cw3cokt66oxm3xhdaihkbh7kz4sw3qmct4sy,You get the government you vote for and all these Trump voters deserve the government they voted for.,at://did:plc:a6l33kt5nxqcwgumrxhrgcss/app.bsky.feed.post/3lbhsj5mpq22z,2024-11-21T15:42:48.560Z,2024-11-21T15:42:47.225Z,You get the government you vote for and all these Trump voters deserve the government they voted for.,['en'],0,0,0,0,[],,,,,,,,,,,at://did:plc:cnpe7qvcyjrhm6w7w7e4atur/app.bsky.feed.post/3lbhfb6bnss2t,bafyreihlz3r4jhnl5yuf3pb6vidjjwclvs7k5zkxkxfbnba4wrsjdudb2y,at://did:plc:cnpe7qvcyjrhm6w7w7e4atur/app.bsky.feed.post/3lbhfb6bnss2t,bafyreihlz3r4jhnl5yuf3pb6vidjjwclvs7k5zkxkxfbnba4wrsjdudb2y,[],You get the government you vote for and all these Trump voters deserve the government they voted for.,18,0,You get the government you vote for and all these Trump voters deserve the government they voted for.
2024-11-23T12:18:59.545Z,bafyreiatv6mt4obn65kyaxonaedk7ooaf622ljpvkxgppug6i7tlprrt2y,You forgot Trump and JD Vance. They must also be arrested and deported to Cuba or North Korea.,at://did:plc:g4yay2rbkl2ozds46rt2qwxr/app.bsky.feed.post/3mdkl653ym22m,2026-01-29T10:25:57.149Z,2026-01-29T10:25:55.931Z,You forgot Trump and JD Vance. They must also be arrested and deported to Cuba or North Korea.,['en'],0,0,0,0,[],,,,,,,,,,,at://did:plc:khkaorxvl6o5xvmzmuxn2rl5/app.bsky.feed.post/3mdjkcvtrxs23,bafyreicxjqkqei2bjxgfbxrpkxbnvpvwooy3r6qt7aqpmp2s4vaggoqdq4,at://did:plc:khkaorxvl6o5xvmzmuxn2rl5/app.bsky.feed.post/3mdjkcvtrxs23,bafyreicxjqkqei2bjxgfbxrpkxbnvpvwooy3r6qt7aqpmp2s4vaggoqdq4,[],You forgot Trump and JD Vance. They must also be arrested and deported to Cuba or North Korea.,18,0,You forgot Trump and JD Vance. They must also be arrested and deported to Cuba or North Korea.
